Category,Name,Link,Price (INR),Price (USD)
CONTROLLER PARTS,NCE4080K,https://roboticsdna.in/product/nce4080k-40v-80a-n-channel-enhancement-mode-power-mosfet/,108,1.296
, PDC004-PD,https://robu.in/product/pdc004-pd-pd-decoy-module-20v/,109,1.308
,SMBJ6.0A,https://roboticsdna.in/product/smbj6-0a-6v-600w-esd-suppressor-tvs-diode-2pin-smb-do-214aa/,20,0.24
,100uF 25V Electrolytic Capacitor,https://robu.in/product/100uf-25v-electrolytic-capacitor-pack-of-10/,6,0.072
,1N5819,https://roboticsdna.in/product/in5819-schottky-diode/,61,0.732
,Connector (x2),https://roboticsdna.in/product/xy2500-9-pin-3-81-mm-male-pitch-straight-screw-terminal-block-socket/,391,4.692
,Orpheus Pico,available @ home,0,0
,RPi Zero 2W,available @ home,0,0
,TMC2226 Stepper driver (x4),https://novo3d.in/tmc2226-driver/,1796,21.552
,XL4015 Step down,https://robu.in/product/xl4015-5a-dc-dc-step-down-adjustable-power-supply-buck-module-led-with-heatsink/,75,0.9
,XL6019E1 Step up,https://robu.in/product/xl6019e1-dc-dc-step-converter-performance-ultra-lm2577-booster-circuit-board/,155,1.86
PRINTER PARTS,Nema 17 (x4),https://novo3d.in/42-stepper-motor-nema17/,2316,27.792
,Volcano heatblock,https://novo3d.in/pt100-volcano-heat-block/,149,1.788
,Heater,https://novo3d.in/24v-50w-heater-cartridge/,99,1.188
,Heatbreak,https://novo3d.in/ender3-s1-sprite-throat/,169,2.028
,CHT Nozzle (0.6mm),https://novo3d.in/v6-cht-nozzle/,129,1.548
,Heatsink,https://novo3d.in/e3d-v6-heatsink/,79,0.948
,3010 Fan,https://robu.in/product/12v-3010-cooling-fan-for-3d-printer/,71,0.852
,Pneumatic connector,https://novo3d.in/pc4-m6/,20,0.24
,Tube (x2),https://novo3d.in/ptfe-tube-white/,218,2.616
,2020 extrusions (5m),https://www.fastdep.in/product/tslot-2020/?src=search&q=2020,1895,22.74
,Titan extruder,https://novo3d.in/titan-extruder/,399,4.788
,Ball joints for arms,https://roboticsdna.in/product/reprap-delta-kossel-mini-5347-delta-ball-headed-buckle-ball-caps-parallel-arm-rod-carbon-rod-joints-kit-with-12pcs-m3-for-3d-printer/,400,4.8
,Carbon fiber arms (x2),https://robu.in/product/pultruded-carbon-fiber-tube-hollow-6mm-4mm-500mm-pack-of-2/,642,7.51
,GT2 timing pulley (x3),https://novo3d.in/motor-pulley/,75,0.9
,Idler pulley,https://novo3d.in/idler-pulley-6mm/,65,0.78
,GT2 timing belt,https://novo3d.in/gt2-6mm-belt/,120,1.44
,V Slot wheels (x9),https://novo3d.in/v-wheel/,1071,12.852
,2040 extrusion (3m),https://www.fastdep.in/product/tslot-vslot-2040/?src=search&q=2040%2520extrusions,2646,31.752
,5010 blower,https://novo3d.in/blower-cooling-fan-5015/,75,0.9
,Thermistor,https://novo3d.in/ntc-sensor/,99,1.188
,1kg PLA,https://novo3d.in/filament/,799,9.588
,10mm Spiral Wrapping,https://robu.in/product/10mm-spiral-wrapping-band-black-10m-for-wires/,90,1.08
,Round bed sticker,https://robu.in/product/round-heated-bed-sticker-for-3d-printer-build-plate-with-adhesive-backing/,274,3.288
,PVC tape,https://robu.in/product/pro-power-pvc-tape-1920b-general-purpose-tape-pvc-20m-x-19mm/,167,2.004
,Endstop switches (x6),https://roboticsdna.in/product/omron-3d-printer-limit-switch-endstop-ss-5gl/,240,2.88
FASTENERS,M3 x 12mm,https://www.fastdep.in/product/socket-head-m3x12mm/,26,0.312
,M3 x 25mm (x2),https://www.fastdep.in/product/socket-head-screws-m3x25mm/,60,0.72
,M5 x 10mm (x5),https://www.fastdep.in/product/socket-head-screws-m5x10mm/,140,1.68
,M3 Hex Nut,https://www.fastdep.in/product/hex-nut-m3/,18,0.216
,M5 hammernut (x50),https://novo3d.in/hammernut/,300,3.6
,M2.5 x 8mm,https://www.fastdep.in/product/pan-head-screw-m2-5x8mm/,48,0.576
TOTAL,,,â‚¹15500,$186
